"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2015-01-20 10:22:20 +0000","Use patched globalize gem  A change made to the globalize gem that made the belongs_to association on the Translation model ""touch"" the owning translated model[1]. This causes issues when trying to destroy translated instances that are using Rails' optimistic locking: When destroying a translated instance, the associated translations are destroyed first, which ""touch""es the owning instance (incrementing the lock_version), making the in-memory lock_version out-of-date, resulting in the destroy failing with a ActiveRecord::StaleObject error.  This is ultimately a bug in ActiveRecord (it should be able to cope with such a configuration), but fixing it is non-trivial. For now use a forked version of globalize that does not touch the association, as this isn't needed in whitehall (it was introduced to invalidate timestamp-based cache keys when a translation is destroyed on a model).  [1]: https://github.com/globalize/globalize/pull/330","2508","147765","79942","28631","15265","12703","9706"
"2015-01-14 15:30:18 +0000","Correct use of `except` method  Passing in an array to the `except` method does not do what is intended.","2509","147807","79984","28631","15265","12703","9706"
"2015-01-12 10:30:50 +0000","Don't use deprecated magic find_by_* helpers  The find_by() method should be used instead. Note that the active record-like interfaces define their own explicit find_by_* methods. I'd suggest these be renamed to something else to avoid confusion, e.g. `by_slug` instead of `find_by_slug`.","2507","147596","79881","28631","15157","12703","9706"
"2015-02-17 14:12:36 +0000","Merge pull request #1973 from alphagov/schema-build-parameter  Use separate parameters for git commits.","2508","147585","79870","28631","15157","12703","9706"
"2015-01-29 16:41:32 +0000","Reduce duplication in SCSS typography mixins  These share a lot of logic/styling with the typography mixins in the govuk_frontend_toolkit. FET mixins are the authorative definition of type styling, and also provide additionalbehaviour like: - Switching to a non-webfont for printing, to avoid webfont   printing issues - Any future improvements that may be added  This brings WH styling slightly more in line with other frontends.  This does change some styling though, a couple of the 640px breakpoint sizes are different in WH to FET:  - core-48 @ 640: 25px/0.8 => 53px/1 - core-27 @ 640: 19px/1.3 => 20/1.1 - core-24 @ 640: 17px/1.5 => 18px/1.2 - core-19 @ 640: 13px/1.5 => 16px/1.25 - core-16 @ 640: 13px/1.5 => 14px/1.1  After discussion with @edds we think a ship-it and see approach is probably safe, as this will only affect some minor cases","2513","148178","80443","28631","15149","12772","9706"
"2015-01-14 10:46:17 +0000","Expose content id for Orgs in API  As we want to query the content ID for Organisations we need to expose them from the API in Whitehall. This commit adds it to the Api::OrganisationsPresenter.","2510","148129","80355","28631","15149","12811","9706"
"2015-01-07 12:22:54 +0000","Update sidekiq gem  Mostly bug fixes","2504","147944","80150","28631","15152","12828","9706"
"2014-12-22 15:17:15 +0000","Rework Publishing API scheduling code  This is mainly to bring the code in line with how unscheduling works by using separate workers for publishing the publish intent and the ""coming_soon"" item for an edition when they are scheduled. This simplifies the code and decouples the two concerns, making it easier to change things in future (i.e. once 404 caching responses are honored by the stack, we can more easily remove the code that publishes the ""coming_soon"" items without affecting the code responsible for pushing the publish intents). The workers and the presenter are now much simpler and are given just enough information they need to speak to the Publishing API without having to have any intimate knowledge of the underlying active record models.","2504","148302","80026","28631","15153","12848","9706"
"2014-12-17 14:56:48 +0000","Merge pull request #1913 from alphagov/fix-organisation-relationship-description  Modify organisation description with parent and child relationships","2501","148282","80007","28631","15152","12848","9706"
"2014-12-09 14:03:47 +0000","Publishing presenter for coming_soon format.","2496","147975","79807","28631","15153","12841","9706"
"2014-12-09 10:21:28 +0000","Archive/unpublish trigger publish not republish.","2495","147748","79579","28631","15153","12841","9706"
